Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
2015-01-01,"27.3","23.9","32.5",0,0,25.461
2015-01-02,7.2,4.5,3.5,0,0,28.972
2015-01-03,4.2,2.4,9.9,0,1,30.814
2015-01-04,3.8,1.5,8.6,1.2,1,29.799
2015-01-05,"23.82",21,8.3,0,0,28.900
2015-01-06,3.8,0.1,0.5,2.2,0,28.218
2015-01-07,24,9.5,3.7,0,0,29.732
2015-01-08,4.9,9.5,2.8,8.6,0,28.397
2015-01-09,8.2,1.9,34,4.4,0,24.886
2015-01-10,6.6,2.1,4.2,0,1,37.937
2015-01-11,7.2,2.2,4.8,3.4,1,36.254
2015-01-12,5.6,1.4,5.4,0,0,25.743
2015-01-13,5.2,1.2,4.8,0.8,0,26.990
2015-01-14,5.6,1.3,34,1.6,0,31.825
2015-01-15,5.6,1.5,2.8,3,0,25.724
2015-01-16,6.5,2.3,2.7,2,0,29.938
2015-01-17,8.6,22,5.8,0,1,37.690
2015-01-18,8.6,3.4,5.6,0,1,30.524
2015-01-19,8.2,2.7,6.5,3.7,0,29.265
2015-01-20,7.8,3.3,5.6,0.6,0,35.127
2015-01-21,5.2,2.7,0.9,0,0,29.130
2015-01-22,1.4,9.2,6.1,31,0,25.795
2015-01-23,1.4,8.5,6.1,3.6,0,21.784
2015-01-24,3.2,19,9.4,13,1,28.348
2015-01-25,4.4,8.1,30,0,1,31.088
2015-01-26,2.4,8.9,8.7,0.8,0,21.520
2015-01-27,3.6,0.5,8.7,1.2,0,29.972
2015-01-28,5.8,0.1,9.9,4.9,0,22.603
2015-01-29,25,1.5,9.2,0,0,22.696
2015-01-30,2.8,0.9,6.9,0,0,26.845
2015-01-31,1.4,8.5,4.3,0.2,1,27.030
2015-02-01,4.6,0.6,28,0,1,32.057
2015-02-02,2.8,0.7,6.5,4.5,0,24.097
2015-02-03,3.6,18,1.1,1.6,0,31.655
2015-02-04,2.2,9.9,3.7,3.2,0,24.738
2015-02-05,0.8,9.1,2.9,5.6,0,19.950
2015-02-06,1.6,7.9,5.4,8.4,0,22.821
2015-02-07,1.6,7.3,8.7,6.7,1,28.893
2015-02-08,2.6,7.1,9.5,0.4,1,29.926
2015-02-09,24,9.3,0.7,0,0,24.062
2015-02-10,3.2,0.1,29,2.2,0,21.137
2015-02-11,5.8,9.9,0.4,2.2,0,26.805
2015-02-12,7.6,3.1,2.7,0,0,26.389
2015-02-13,5.4,2.5,2.1,0,0,24.219
2015-02-14,4.2,1.1,1.6,0,1,30.231
2015-02-15,2.9,20,7.6,7.4,1,24.968
2015-02-16,1.6,8.8,7.3,2.7,0,25.343
2015-02-17,2.6,9.7,28,5.3,0,17.399
2015-02-18,2.2,9.9,6.4,3.4,0,21.392
2015-02-19,3.2,9.9,8.5,2.4,0,22.922
2015-02-20,4.2,1.7,8.2,0,0,24.567
2015-02-21,5.2,1.4,1.1,0,1,30.943
2015-02-22,4.4,0.4,0.8,0,1,30.825
2015-02-23,5.4,0.7,1.4,0,0,25.692
2015-02-24,4.3,0.5,1.9,0,0,26.959
2015-02-25,2.4,9.3,9.3,2,0,25.366
2015-02-26,4.1,9.2,0.3,4.4,0,22.784
2015-02-27,4.4,0.4,1.4,0.6,0,26.241
2015-02-28,2.4,9.7,7.7,0,1,26.467
2015-03-01,1.6,8.2,6.3,3,1,27.475
2015-03-02,2.6,7.2,9.2,0,0,28.749
2015-03-03,3.6,9.5,9.5,0,0,24.146
2015-03-04,3.8,8.9,0.5,0,0,22.988
2015-03-05,4.2,9.7,1.6,0,0,30.300
2015-03-06,2.6,9.4,8.5,0,0,22.654
2015-03-07,1.2,9.4,6.6,8.2,1,29.090
2015-03-08,2.2,9.7,4.4,9.2,1,24.619
2015-03-09,1.6,9.7,3.3,77,0,20.016
2015-03-10,3.2,1.2,6.9,9.7,0,23.042
2015-03-11,2.8,0.1,8.1,9.5,0,22.933
2015-03-12,2.6,9.2,6.9,1.2,0,22.409
2015-03-13,2.4,20,6.6,0,0,21.281
2015-03-14,2.8,9.9,7.9,2.2,1,28.844
2015-03-15,2.8,9.1,6.8,0.3,1,32.872
2015-03-16,1.2,8.6,9.4,2.4,0,20.903
2015-03-17,1.2,8.6,5.6,4.2,0,26.275
2015-03-18,1.4,9.7,4.1,0,0,20.167
2015-03-19,1.8,9.2,7.1,3.2,0,23.628
2015-03-20,1.4,8.9,8.2,7.4,0,24.213
2015-03-21,0.8,8.5,5.3,4.7,1,28.631
2015-03-22,9.7,8.1,2.8,1.7,1,25.855
2015-03-23,9.8,7.1,3.3,9.2,0,21.406
2015-03-24,0.8,7.4,6.3,0,0,21.617
2015-03-25,1.6,7.1,7.9,0,0,22.401
2015-03-26,2.8,8.3,9.8,0,0,27.989
2015-03-27,3.2,18,0.8,0,0,24.974
2015-03-28,3.8,9.1,9.5,0,1,29.760
2015-03-29,2.4,0.5,6.6,0,1,26.116
2015-03-30,2.5,19,5.9,8.6,0,25.850
2015-03-31,3.4,0.1,29,1,0,24.925
2015-04-01,2.2,9.2,7.5,0,0,21.979
2015-04-02,0.2,8.2,6.2,0,0,22.116
2015-04-03,1.2,6.3,7.2,0,0,24.867
2015-04-04,2.6,7.9,9.4,0,1,33.450
2015-04-05,2.2,0.1,6.4,0,1,32.713
2015-04-06,1.6,8.5,7.7,0,0,22.356
2015-04-07,7.8,6.1,20,7.1,0,21.004
2015-04-08,8.8,4.7,4.3,0.4,0,23.362
2015-04-09,9.4,5.9,5.6,0,0,20.298
2015-04-10,0.6,17,5.5,0,0,24.862
2015-04-11,1.4,7.2,8.4,0,1,30.505
2015-04-12,9.2,6.8,5.7,0,1,25.070
2015-04-13,0.8,8.1,5.7,0,0,22.620
2015-04-14,1.7,8.4,8.8,0,0,22.001
2015-04-15,1.4,8.5,7.4,0,0,23.469
2015-04-16,1.6,8.6,6.7,5.4,0,21.735
2015-04-17,1.2,8.4,27,7.2,0,21.593
2015-04-18,3.6,8.2,9.3,0,1,33.822
2015-04-19,2.5,0.3,7.2,0,1,28.028
2015-04-20,24,9.3,9.2,0.2,0,24.304
2015-04-21,2.2,9.3,29,0,0,31.108
2015-04-22,0.6,8.9,1.6,2.4,0,19.113
2015-04-23,1.2,8.6,4.9,4.6,0,23.198
2015-04-24,2.2,9.3,8.1,0,0,24.388
2015-04-25,9.8,7.4,3.3,0,1,27.420
2015-04-26,9.4,6.1,3.7,0.8,1,30.479
2015-04-27,9.2,7.5,4.9,0,0,21.838
2015-04-28,0.6,7.2,6.9,0,0,20.812
2015-04-29,8.6,6.8,2.7,0,0,19.761
2015-04-30,6.2,4.7,8.7,0,0,20.452
2015-05-01,7.4,3.4,22,0,0,17.939
2015-05-02,9.6,4.7,6.4,0,1,25.272
2015-05-03,1.4,5.8,6.3,0,1,28.049
2015-05-04,9.6,7.9,2.3,1,0,25.317
2015-05-05,8.4,6.6,0.8,9.9,0,21.826
2015-05-06,7.6,5.9,0.4,0,0,20.680
2015-05-07,7.8,5.8,1.7,0,0,19.143
2015-05-08,6.4,3.9,9.2,0,0,18.146
2015-05-09,8.4,3.7,6.1,0,1,25.489
2015-05-10,6.4,3.7,21,0,1,23.537
2015-05-11,7.6,5.7,0.6,2.2,0,16.956
2015-05-12,7.2,4.2,1.7,0,0,19.052
2015-05-13,6.4,4.7,8.9,2.8,0,17.287
2015-05-14,6.2,4.2,21,0,0,20.300
2015-05-15,6.4,3.6,1.5,0,0,20.538
2015-05-16,7.8,3.2,2.3,0,1,23.702
2015-05-17,8.6,5.4,2.4,0,1,28.411
2015-05-18,8.6,6.6,1.3,0,0,21.073
2015-05-19,8.4,17,2.9,0,0,24.215
2015-05-20,8.4,5.9,3.3,0.2,0,19.525
2015-05-21,9.6,6.3,25,0,0,20.786
2015-05-22,0.6,6.3,5.4,0,0,20.429
2015-05-23,9.4,5.9,4.4,0,1,27.250
2015-05-24,1.8,7.9,6.3,0,1,31.387
2015-05-25,2.6,7.5,7.4,0,0,26.075
2015-05-26,1.8,9.7,4.8,0,0,22.162
2015-05-27,2.4,9.7,7.1,0,0,24.258
2015-05-28,8.6,6.8,3.2,1.8,0,24.683
2015-05-29,7.8,5.3,1.9,7.2,0,21.245
2015-05-30,7.2,3.1,2.9,0,1,25.937
2015-05-31,6.8,3.6,8.4,5.6,1,26.081
2015-06-01,6.8,5.2,18,2.2,0,16.228
2015-06-02,6.4,15,7.5,0.5,0,20.106
2015-06-03,7.4,15,1.7,0,0,21.055
2015-06-04,8.6,4.6,4.1,0,0,22.772
2015-06-05,8.2,4.1,5.3,0,0,25.142
2015-06-06,9.6,3.8,6.1,0,1,31.129
2015-06-07,0.2,5.9,6.2,0,1,30.498
2015-06-08,0.6,5.2,6.4,0,0,26.150
2015-06-09,0.2,5.2,26,0,0,21.327
2015-06-10,0.4,5.5,6.2,0,0,22.008
2015-06-11,2.2,7.5,6.9,0,0,24.615
2015-06-12,8.8,6.9,3.5,0,0,22.375
2015-06-13,1.1,5.5,7.4,0,1,29.607
2015-06-14,2.6,8.1,7.3,0,1,32.983
2015-06-15,6.2,3.1,3.4,0,0,19.119
2015-06-16,4.2,2.1,8.1,9,0,21.029
2015-06-17,9.8,3.9,5.1,0,0,23.898
2015-06-18,9.8,5.8,6.2,0,0,24.534
2015-06-19,4.6,3.2,7.7,3.8,0,16.748
2015-06-20,5.2,2.5,0.4,0,1,23.055
2015-06-21,7.2,2.6,4.6,0,1,28.857
2015-06-22,8.4,3.1,4.6,0,0,23.022
2015-06-23,9.2,4.4,5.5,0,0,27.146
2015-06-24,4.4,3.9,18,3.8,0,17.241
2015-06-25,4.2,2.1,7.4,1,0,19.463
2015-06-26,5.6,12,0.9,0,0,21.860
2015-06-27,5.4,0.6,0.8,0,1,24.227
2015-06-28,5.8,1.2,1.8,0,1,27.594
2015-06-29,7.2,11,4.4,0,0,24.863
2015-06-30,9.6,3.2,5.1,0,0,20.161
2015-07-01,7.8,6.2,0.5,0,0,20.824
2015-07-02,7.2,5.1,9.9,1.6,0,19.727
2015-07-03,7.2,5.6,8.4,7.8,0,14.940
2015-07-04,4.4,0.9,21,5.2,1,24.632
2015-07-05,2.9,11,4.5,4.4,1,21.294
2015-07-06,5.8,1.3,0.6,0,0,18.448
2015-07-07,6.8,3.3,0.2,0,0,21.237
2015-07-08,7.2,4.9,8.7,4.5,0,19.849
2015-07-09,7.4,5.3,0.4,0,0,20.740
2015-07-10,9.4,14,5.4,0,0,25.698
2015-07-11,7.6,16,9.8,0,1,26.691
2015-07-12,0.2,14,7.4,3,1,33.298
2015-07-13,2.6,6.7,8.7,0,0,25.640
2015-07-14,3.3,8.4,9.3,0,0,23.937
2015-07-15,0.8,7.2,7.6,0,0,28.742
2015-07-16,9.8,6.2,5.8,0,0,21.748
2015-07-17,9.4,5.8,4.3,0,0,22.032
2015-07-18,0.2,8.2,3.8,0,1,24.827
2015-07-19,9.8,4.6,5.9,0,1,32.473
2015-07-20,0.6,4.9,5.1,0,0,20.620
2015-07-21,6.2,14,1.4,0,0,21.825
2015-07-22,4.2,2.8,6.1,0,0,14.343
2015-07-23,7.2,3.6,0.6,0,0,19.029
2015-07-24,8.6,4.3,5.8,0,0,21.104
2015-07-25,5.9,4.9,7.9,6.6,1,20.738
2015-07-26,6.2,3.6,2.9,2,1,25.233
2015-07-27,6.6,11,4.2,0,0,18.975
2015-07-28,6.6,1.6,4.5,0,0,19.640
2015-07-29,6.2,11,3.8,0,0,22.522
2015-07-30,6.6,1.3,6.7,0,0,24.227
2015-07-31,9.4,2.8,6.6,0,0,24.726
2015-08-01,9.8,4.3,6.4,0,1,32.467
2015-08-02,0.1,3.8,6.3,0,1,31.663
2015-08-03,1.6,4.9,6.9,0,0,25.867
2015-08-04,1.4,5.2,7.4,0,0,27.724
2015-08-05,0.6,15,7.2,0,0,22.039
2015-08-06,1.6,6.3,7.7,0,0,26.127
2015-08-07,2.8,5.5,8.9,0,0,26.580
2015-08-08,1.6,16,7.8,0,1,31.310
2015-08-09,9.2,5.6,6.2,0,1,33.517
2015-08-10,1.2,5.6,28,0,0,23.181
2015-08-11,9.6,5.2,7.2,0,0,24.183
2015-08-12,0.2,4.1,6.6,0,0,24.594
2015-08-13,0.2,4.1,8.1,0,0,22.610
2015-08-14,0.6,5.3,7.6,0,0,25.479
2015-08-15,1.4,5.6,7.8,0,1,29.621
2015-08-16,0.6,6.2,7.2,0,1,26.272
2015-08-17,1.8,5.3,28,0,0,22.541
2015-08-18,1.3,6.7,6.5,0,0,23.070
2015-08-19,0.4,7.3,8.3,0,0,26.021
2015-08-20,6.2,4.8,9.6,0,0,17.655
2015-08-21,6.4,3.2,2.1,1,0,23.243
2015-08-22,8.8,4.1,6.2,0,1,30.177
2015-08-23,0.2,3.5,30,0,1,27.518
2015-08-24,6.8,5.1,0.5,0,0,23.210
2015-08-25,6.8,4.3,0.5,2.4,0,21.092
2015-08-26,8.2,4.8,24,0.6,0,23.357
2015-08-27,6.1,3.8,9.8,2.6,0,17.888
2015-08-28,6.8,2.8,2.1,25,0,22.217
2015-08-29,8.6,2.2,6.7,0,1,31.681
2015-08-30,2.2,4.3,32,0,1,31.833
2015-08-31,4.4,6.6,2.2,0,0,28.441
2015-09-01,1.4,7.2,0.7,0,0,22.389
2015-09-02,6.1,4.1,0.2,0.4,0,20.681
2015-09-03,9.3,4.8,25,0,0,24.222
2015-09-04,6.6,5.2,9.3,0,0,19.345
2015-09-05,6.2,4.4,8.5,2.4,1,21.827
2015-09-06,6.8,3.3,9.9,0,1,23.566
2015-09-07,8.2,3.8,4.4,0.1,0,20.227
2015-09-08,7.8,5.8,9.2,3.6,0,17.075
2015-09-09,8.2,5.8,2.9,58,0,16.977
2015-09-10,8.2,3.9,5.6,0,0,21.525
2015-09-11,6.8,4.1,1.8,1.8,0,21.454
2015-09-12,14,2.8,5.6,7.6,1,21.814
2015-09-13,4.8,2.5,6.1,0,1,21.252
2015-09-14,6.6,13,2.5,0.2,0,20.464
2015-09-15,1.8,4.4,0.1,0,0,30.775
2015-09-16,5.4,7.2,2.6,0,0,25.343
2015-09-17,7.6,0.4,33,0,0,33.930
2015-09-18,8.6,1.3,4.5,0,0,26.311
2015-09-19,28,1.1,5.5,0,1,31.836
2015-09-20,3.6,9.2,3.3,0,1,34.695
2015-09-21,4.2,7.4,2.8,0,0,29.829
2015-09-22,5.7,8.9,3.3,0,0,26.362
2015-09-23,6.4,8.3,34,0,0,32.589
2015-09-24,8.3,0.5,5.3,0,0,30.345
2015-09-25,3.4,9.2,0.3,0,0,29.411
2015-09-26,0.8,8.2,4.9,8.6,1,29.637
2015-09-27,2.3,8.2,0.6,1.8,1,32.184
2015-09-28,1.2,7.5,3.6,7.2,0,17.731
2015-09-29,1.8,7.5,7.1,0,0,24.114
2015-09-30,1.2,8.6,7.6,0,0,28.034
2015-10-01,0.6,7.6,6.4,7.6,0,22.664
2015-10-02,4.4,9.3,2.7,0,0,27.488
2015-10-03,0.8,6.1,25,25,1,24.876
2015-10-04,8.6,7.1,1.3,0.2,1,24.862
2015-10-05,7.6,4.8,2.4,0,0,24.679
2015-10-06,8.6,4.6,4.7,0,0,22.304
2015-10-07,4.5,5.9,2.6,0,0,30.329
2015-10-08,6.6,9.3,34,0,0,33.182
2015-10-09,4.2,9.8,29,0,0,23.849
2015-10-10,3.6,9.6,28,0.3,1,33.330
2015-10-11,2.8,9.6,30,0,1,34.496
2015-10-12,2.6,19,9.6,0,0,26.249
2015-10-13,1.4,8.1,7.6,2.4,0,26.523
2015-10-14,3.2,8.2,8.5,0,0,26.793
2015-10-15,8.2,8.9,5.8,0,0,35.861
2015-10-16,6.4,1.3,5.7,0,0,27.387
2015-10-17,1.2,7.3,9.2,0,1,32.666
2015-10-18,6.6,5.5,9.2,0.1,1,22.199
2015-10-19,9.6,5.5,7.2,0,0,24.000
2015-10-20,6.3,7.2,5.3,0,0,27.871
2015-10-21,4.2,1.3,32,0,0,31.139
2015-10-22,9.9,7.7,2.8,4.6,0,23.065
2015-10-23,0.5,7.6,7.3,3.4,0,26.594
2015-10-24,7.4,6.2,1.2,0,1,27.657
2015-10-25,7.4,5.7,9.2,0,1,26.594
2015-10-26,0.6,16,8.5,8.4,0,28.084
2015-10-27,22,9.1,8.4,0.1,0,27.582
2015-10-28,0.2,8.6,3.9,0,0,24.862
2015-10-29,0.6,8.2,4.8,0,0,22.634
2015-10-30,3.6,9.1,1.2,0,0,31.649
2015-10-31,3.8,8.2,9.3,0,1,35.781
2015-11-01,0.2,8.7,2.4,7.2,1,24.429
2015-11-02,1.2,8.3,7.2,9.6,0,20.648
2015-11-03,1.6,9.5,5.6,3.4,0,22.741
2015-11-04,1.2,8.6,7.4,6.8,0,21.479
2015-11-05,1.8,8.2,4.8,9.3,0,23.134
2015-11-06,9.6,18,2.8,0,0,20.575
2015-11-07,8.3,6.8,20,1.2,1,24.330
2015-11-08,0.4,7.4,3.9,0.6,1,28.610
2015-11-09,2.8,8.7,9.5,4.4,0,28.456
2015-11-10,3.2,9.4,1.8,0.4,0,27.964
2015-11-11,6.2,9.8,2.7,0,0,29.569
2015-11-12,3.8,0.8,1.8,0,0,29.267
2015-11-13,2.8,9.4,9.6,0,0,28.647
2015-11-14,5.6,9.5,0.4,6.4,1,26.836
2015-11-15,3.6,9.8,9.7,8,1,29.386
2015-11-16,1.6,9.4,4.9,0,0,24.609
2015-11-17,1.6,7.7,9.7,0,0,26.964
2015-11-18,5.5,7.6,0.5,4.1,0,23.614
2015-11-19,6.6,3.3,0.4,0,0,22.960
2015-11-20,3.8,9.6,27,6.8,0,20.332
2015-11-21,9.4,7.2,4.4,7.2,1,30.392
2015-11-22,2.6,7.1,8.8,0,1,31.933
2015-11-23,0.8,9.6,3.6,3.6,0,21.662
2015-11-24,1.6,9.3,2.6,7,0,21.689
2015-11-25,1.6,9.3,4.8,0.4,0,25.119
2015-11-26,2.8,19,7.4,0,0,25.285
2015-11-27,2.8,7.6,8.4,0,0,28.979
2015-11-28,3.7,8.7,9.8,0,1,34.382
2015-11-29,2.8,0.5,26,7.4,1,30.617
2015-11-30,9.1,6.7,3.3,3.4,0,20.238
2015-12-01,0.1,6.4,5.8,0,0,24.529
2015-12-02,2.1,8.2,9.4,0,0,30.471
2015-12-03,2.4,0.2,6.1,0,0,28.405
2015-12-04,2.6,19,9.1,0,0,29.513
2015-12-05,4.8,9.5,0.6,0.1,1,32.451
2015-12-06,3.2,0.6,28,0.1,1,32.780
2015-12-07,0.4,18,3.9,7.8,0,23.375
2015-12-08,1.7,18,28,0,0,27.713
2015-12-09,3.6,9.6,7.9,0,0,27.137
2015-12-10,24,2.2,7.7,0,0,22.933
2015-12-11,4.4,0.7,0.3,0,0,30.740
2015-12-12,3.2,0.6,0.8,0,1,29.579
2015-12-13,4.4,9.3,31,2.2,1,29.188
2015-12-14,6.8,1.1,2.5,2,0,28.131
2015-12-15,5.6,0.6,2.8,4,0,28.617
2015-12-16,2.4,0.7,4.8,1.5,0,21.062
2015-12-17,3.2,8.9,8.7,0,0,24.337
2015-12-18,6.2,9.6,3.5,0.1,0,27.042
2015-12-19,3.4,9.8,1.3,1.3,1,32.536
2015-12-20,2.4,9.6,29,8.4,1,30.127
2015-12-21,3.2,9.6,9.1,7.2,0,24.834
2015-12-22,4.6,9.6,2.4,43,0,26.828
2015-12-23,7.6,2.1,2.4,3,0,26.468
2015-12-24,4.2,0.5,1.5,3.4,0,31.572
2015-12-25,3.8,7.8,31,39,0,26.308
2015-12-26,3.4,7.8,9.8,4.8,1,21.955
2015-12-27,24,1.1,8.2,3.6,1,32.307
2015-12-28,2.4,1.1,6.7,0,0,26.095
2015-12-29,1.8,0.3,4.1,0.3,0,22.309
2015-12-30,1.8,9.3,2.4,6.3,0,20.467
2015-12-31,4.6,0.2,29,0,0,22.446